"2024/10/04","00:00","1.025","-","1.91"
"2024/10/04","00:06","1.009","-","1.88"
"2024/10/04","00:12","0.993","-","1.89"
"2024/10/04","00:18","0.978","-","1.85"
"2024/10/04","00:24","0.962","-","1.8"
"2024/10/04","00:30","0.947","-","1.81"
"2024/10/04","00:36","0.932","-","1.81"
"2024/10/04","00:42","0.917","-","1.8"
"2024/10/04","00:48","0.903","-","1.78"
"2024/10/04","00:54","0.889","-","1.76"
"2024/10/04","01:00","0.875","-","1.74"
"2024/10/04","01:06","0.862","-","1.7"
"2024/10/04","01:12","0.849","-","1.67"
"2024/10/04","01:18","0.837","-","1.66"
"2024/10/04","01:24","0.825","-","1.64"
"2024/10/04","01:30","0.813","-","1.65"
"2024/10/04","01:36","0.802","-","1.63"
"2024/10/04","01:42","0.792","-","1.61"
"2024/10/04","01:48","0.782","-","1.59"
"2024/10/04","01:54","0.773","-","1.57"
"2024/10/04","02:00","0.764","-","1.56"
"2024/10/04","02:06","0.756","-","1.53"
"2024/10/04","02:12","0.749","-","1.51"
"2024/10/04","02:18","0.743","-","1.49"
"2024/10/04","02:24","0.738","-","1.47"
"2024/10/04","02:30","0.733","-","1.44"
"2024/10/04","02:36","0.73","-","1.44"
"2024/10/04","02:42","0.728","-","1.42"
"2024/10/04","02:48","0.726","-","1.41"
"2024/10/04","02:54","0.726","-","1.39"
"2024/10/04","03:00","0.727","-","1.37"
"2024/10/04","03:06","0.729","-","1.36"
"2024/10/04","03:12","0.732","-","1.36"
"2024/10/04","03:18","0.737","-","1.35"
"2024/10/04","03:24","0.743","-","1.32"
"2024/10/04","03:30","0.75","-","1.32"
"2024/10/04","03:36","0.758","-","1.31"
"2024/10/04","03:42","0.767","-","1.31"
"2024/10/04","03:48","0.778","-","1.32"
"2024/10/04","03:54","0.79","-","1.33"
"2024/10/04","04:00","0.803","-","1.34"
"2024/10/04","04:06","0.817","-","1.36"
"2024/10/04","04:12","0.833","-","1.39"
"2024/10/04","04:18","0.849","-","1.41"
"2024/10/04","04:24","0.867","-","1.44"
"2024/10/04","04:30","0.886","-","1.47"
"2024/10/04","04:36","0.905","-","1.5"
"2024/10/04","04:42","0.925","-","1.55"
"2024/10/04","04:48","0.947","-","1.59"
"2024/10/04","04:54","0.969","-","1.61"
"2024/10/04","05:00","0.991","-","1.62"
"2024/10/04","05:06","1.014","-","1.64"
"2024/10/04","05:12","1.038","-","1.67"
"2024/10/04","05:18","1.062","-","1.71"
"2024/10/04","05:24","1.086","-","1.74"
"2024/10/04","05:30","1.111","-","1.76"
"2024/10/04","05:36","1.136","-","1.78"
"2024/10/04","05:42","1.161","-","1.8"
"2024/10/04","05:48","1.186","-","1.84"
"2024/10/04","05:54","1.211","-","1.86"
"2024/10/04","06:00","1.235","-","1.88"
"2024/10/04","06:06","1.26","-","1.9"
"2024/10/04","06:12","1.284","-","1.91"
"2024/10/04","06:18","1.308","-","1.94"
"2024/10/04","06:24","1.331","-","1.96"
"2024/10/04","06:30","1.354","-","1.99"
"2024/10/04","06:36","1.376","-","2.01"
"2024/10/04","06:42","1.398","-","2.02"
"2024/10/04","06:48","1.419","-","2.05"
"2024/10/04","06:54","1.439","-","2.09"
"2024/10/04","07:00","1.459","-","2.11"
"2024/10/04","07:06","1.478","-","2.15"
"2024/10/04","07:12","1.495","-","2.17"
"2024/10/04","07:18","1.512","-","2.19"
"2024/10/04","07:24","1.528","-","2.23"
"2024/10/04","07:30","1.543","-","2.24"
"2024/10/04","07:36","1.557","-","2.27"
"2024/10/04","07:42","1.569","-","2.29"
"2024/10/04","07:48","1.581","-","2.29"
"2024/10/04","07:54","1.591","-","2.31"
